id,name,name_cn,ISBN
6549,YELLOW,YELLOW 危险地带,9784757733657
9029,Cab (MARBLE COMICS),,"9784904101520"
23091,pixiv girls collection 〜 ピクシブガールズコレクション,,"9784862525314"
26767,おと★娘  (ミリオンムック),,9784813064879
37999,B's-LOG [雑誌],,"9784047286238"
38471,A-00ab,爱上阿宅，让我变成同人女,9784758081429
53756,マージナル,荒芜世界,"9784091912541"
59474,Starry☆Sky公式ガイド コンプリートエディション ~Spring Stories~,,"9784048689434"
59475,Starry☆Sky公式ガイド コンプリートエディション ~Summer Stories~,,"9784048689441"
72277,もと子先生の恋人,素子老师的恋人,"9784592142973"
72842,さえずり少女、しんしん鎌倉,,"9784832251885"
73366,宮河家の空腹,宫河家的空腹,"9784041202333"
74518,黒白Lovers~ドラマCD付初回限定BOX~,,"9784862692474"
75050,放課後はミステリーとともに,推理要在放学后,"9784408535845"
76618,熱情,热情,9784199601989
84699,みのりスクランブル！,泼辣酷企鹅,"9784832276840"
90528,花輪和一初期作品集,,9784883792528
90531,朱雀門,,9784883790043
90533,フィギッシュ,,9784883790395
90692,BEATLESS,,"9784041102909"
94023,カウント0,恋爱数值,"9784877248314"
96684,思春期ボーイズ×ガールズ戦争,青春期男孩×女孩的战争,9784048663076
107726,禁断兄妹～兄が私を女にした～,,9784821174478
108115,東池袋ストレイキャッツ,东池袋迷途猫,"9784048666244"
111295,philosophia,恋爱哲学,"9784758073332"
111487,ミルキーウェイ,银河银河,9784592118053
116070,番狗―ナンバー―,编码杀手番狗,"9784861275043"
116547,宮沢賢治全集,宫泽贤治全集,"9784480030603(套装)"
119402,∀ガンダム 月の風,∀高达　月之风,9784047139299
120496,シークエンス,消失的记忆,9784403611988
121249,柑蜜男子,蜜糖男子,"9784835216027"
122938,囚われの野獣たち (Cheeseフラワーコミックス),被囚禁的野獸們,"9784091348081"
124663,FAN,,"9784796402989"
125055,ヤンデレ男の娘シリーズ(仮) (IDコミックス/わぁい!コミックス),病娇伪娘系列,"9784758013925"
128328,アイドルマスター ユア メッセージ,偶像大师 Your Message,"9784840241328"
128383,ロードス島戦記 ファリスの聖女 完全版,,"9784041028063"
132484,オーダーメイド殺人クラブ,请杀了我,"9784087714036"
132948,大斬 —オオギリ—,大斩,"9784088803890"
138301,堕天使カナン,半调子的堕天使,"9784861272103"
138460,美大道！,美大养成班,"9784832269491"
138464,スーパー俺様ラブストーリー,天才的超级恋爱,"9784832278776"
138631,69億のクリスマス,69亿的圣诞节,"9784832250321"
139715,くろよめ,派遣新嫁娘,"9784832279926"
142084,サチウス,薄命幸,"9784832251878"
144361,ぼくとことりちゃん,,"9784801950306"
145352,家-水蜜桃-,,"9784860849733"
145917,キスは〆切のあとで,亲吻总在截稿后,"9784799730256"
147272,カフェ☆グリーフシードへようこそ!,欢迎来到悲伤之种咖啡馆,"9784832243651"
152101,ねじ式―異色傑作選1,螺旋式―异色杰作选1,9784091905017
155536,ギャルとかビッチとか色々。,辣美眉还有淫荡女之类的种种。,"9784862693983"
