id,name,name_cn
20917,ばけらの!,闲狼作家是美少女妖怪？！
22532,花美男明星事件簿,花美男明星事件簿
23512,イスカリオテ,断罪衣
24152,空色パンデミック Short Stories,
24785,魁拔,魁拔
26033,お前のご奉仕はその程度か？,你的侍奉只有这种程度吗?
26508,のうりん,农林
26576,待回收,
26657,金星特急,
26948,六畳間の侵略者!? (8.5) 白銀の姫と青き騎士 第二章,
27027,愛してると言う気はない,不想说爱你
27618,R.O.D,读或死
28040,きゅーきゅーキュート!,变装魔界留学生
28176,リリカル・ミステリ,
28249,蒼海ガールズ!,苍海的少女们
28489,有明月に、おねがい。,
28574,神曲奏界ポリフォニカ レオン･ザ･レザレクター,神曲奏界 金
28880,突然騎士になってムフフな俺がいる,突然成为骑士
28921,はぐれ勇者の鬼畜美学,流氓勇者的鬼畜美学
29607,ラッキーメイド天くん,幸运女仆天君
29626,平井骸惚此中ニ有リ,
30267,火の国、風の国物語,火之国、风之国物语
31137,ダブルブリッド,妖裔特警
31316,DEAD END,
32813,約束の柱、落日の女王,约定之柱 落日的女王
33381,レッドドラゴン,红龙
33443,初体験にオススメな彼女,推薦一起共度初體驗的她
33742,世界一初恋 ~吉野千秋の場合~,世界一初恋~吉野千秋的情况~
34584,サウスベリィの下で,在SouthBerry树下
35139,ガブリエラ戦記,
35181,かんなぎ家へようこそ！,
35244,逆理の魔女,逆理的魔女
36162,俺ミーツリトルデビル!,
36177,死想図書館のリヴル・ブランシェ,
36365,俺はまだ恋に落ちていない,
37885,ライアー・ライセンス,
37927,カナクのキセキ,卡纳克的轨迹
38005,sweet pool,
38935,暗いところで待ち合わせ,在黑暗中等待
38952,旅する少女と灼熱の国,旅行少女與灼熱之國
39043,白翼のリンケージ,
40864,シャイニング・ティアーズ to ウィンド 姫君たちの冒険,光明之泪to风 公主们的冒险
40866,シャイニング・ハーツ やさしいパンの薫る島 (ファミ通文庫),光明之心~面包熏香之岛~
40976,千の魔剣と盾の乙女,千之魔剑与盾之少女
42094,灼熱のエスクード,灼热神盾
42157,ゴールデンタイム 外伝 二次元くんスペシャル,
42418,スレイヤーズでりしゃす,秀逗魔导士Delicious
43162,エレGY,艾蕾GY
45109,天才ハルカさんの生徒会戦争,
45320,魔法少女アイ,魔法少女爱
45799,魔女ルミカの赤い糸,魔女的红线
46085,イレギュラーズ・パラダイス,
46356,ふしぎ遊戯外伝,不思议游戏 外传
384234,無様に！下品に！都合よく！巨根崇拝！孕ませオナホ学園♪,
384506,種付けおじさん異世界へ ~孕ませ士種蒔権蔵、エルフの里へ流れ着く編~,
384720,保健室のオトナな先輩、俺の前ではすぐデレる,保健室的成熟前辈，在我面前却会很快娇羞起来
384878,腐敗の帝王,
385090,黄金のアイオーニア 青き瞳の姫将軍,
385126,デ・コスタ家の優雅な獣,
386287,塩対応の佐藤さんが俺にだけ甘い (6.5),
386497,砂漠の月は青く燃ゆ,
386956,完全無欠の名探偵,完美无缺的名侦探
387433,見た目に反して(僕だけに)甘えたがりの幼なじみを、僕は毎日論破しなければならない。,
389074,SHOW BY ROCK!! The Revolution,
389755,カラダ探し 最終夜,
389816,ブロークン 落陽騎士は偽り姫に凱旋を捧ぐ,
390163,"彼女の""適切な距離(ソーシャルディスタンス)""が近すぎる",
390363,木造アパートごと異世界旅行 ~住人が増えるたびレベルアップ~,
390408,この星を見上げたら、僕はキミの幸せを願う。,
390438,記憶喪失の君と、君だけを忘れてしまった僕。,
391137,小説 弱虫ペダル,
