id,name,name_cn
123940,詩音 OF THE DEAD (1),
302631,パーム (40) TASK (Ⅴ),
312792,パーム (32) 蜘蛛の紋様 (3),
543525,劣化魔法の教育者 (1),
544000,はぐるまどらいぶ。 (1),齿轮驱动。 (01)
544438,前世薬師の悪役令嬢は、周りから愛されるようです (1) ~万能調薬スキルとゲーム知識で領地を豊かにしようと思います~,
190236,GJ部@こみっく (1),
346460,君がブルーバード (1),
525602,シスター・プリンセス ～お兄ちゃん大好き～ (12) 亞里亞,妹妹公主 小说（12）亚里亚
317728,『マギアレコード 魔法少女まどか☆マギカ外伝』TVアニメ公式ガイドブック (1),
323662,(21)‐のじゃロリ&ロリババァ‐,萝莉的♂→♀秘密
324033,渋谷のロリはだいたいトモダチ (1) ノーゴスキュア・ノーライフ,
658162,現代忍者は万能ゆえに異世界迷宮を一人でどこまでも深く潜る (1),
659996,ひめごとかくしごと(1),
53228,FORTUNE ARTERIAL Character’s Prelude (1),
56433,B×P Anx (1),
369364,本気! 番外編 (2) 命,
554117,マルタ・サギーは探偵ですか? A collection of s. (2),
574622,未亡人エレンの幸せな人生～今さら愛してると言われましても～ (1),
143014,城下町のダンデライオン アンソロジーコミック (1),
150349,斬殺サーカス (1),
157830,青空ごっつん (1),
462264,最強無名の剣聖王 (1) ~没落した子孫に転生した四百年前の英雄、未来でも無双して王座を奪還する~,
463861,公式ガイド&レシピ きのう何食べた? ~シロさんの簡単レシピ~ (3),
464772,どちらかの家庭が崩壊する漫画 (1),
468139,アラフォー冒険者、伝説となる (2) ~SSランクの娘に強化されたらSSSランクになりました~,
470383,女大好き、クズ王子 ～転生魔王のハーレム英雄譚～ (1),最喜欢女人的渣王子 ～转生魔王的后宫英雄谭～ (1)
210439,政宗くんのリベンジ (0),政宗君的复仇 (0)
214260,呪術廻戦 (0) 東京都立呪術高等専門学校,咒术回战 0 东京都立咒术高等专门学校
216326,サクラクエストアンソロジーコミック (1),
253181,3.11 あの日を忘れない (1) 飯舘村・ほんの森でまってる,
256664,ユリシーズ (0) ジャンヌ・ダルクと姫騎士団長殺し,
421412,異世界で『賢者……の石』と呼ばれています (2),
98861,平井久司 画集(2),
287091,今宵は淫魔ちゃん (2),今夜是小淫魔
639713,折り紙職人ミモザの日記帳 ~病弱だった私は異世界に転生して健康な体を手に入れたので、前世でできなかった恩返しの旅に出る~ (1),
641689,陸の孤島の令嬢、神からもらった【詫びダンジョン】で最強の交易都市を築きます! (1),
644806,男女比1:30の貞操逆転世界で身を挺して女の子たちを守ったら愛が重くなりすぎた (1),
394199,マギアレコード 魔法少女まどか☆マギカ外伝TVアニメ公式ガイドブック (2),
602392,国家令嬢は価値なき俺を三億で (1),
604595,魔法少女はおとなのつとめです。 (1),
617593,世界最強の炎魔法使い (1) ~主人公に何度も負けてすべてを失うデブモブに転生したオレ、一途に愛するヒロインを救うために無双する~,
619951,死にゲー世界をクリアしたら別ゲー悪役貴族に転生しました (1) ~前世のチートと不死身の身体で、好き勝手生きます~,
624723,佐藤英子(32)はヒーローになれたのか,
125979,東京・心中 (1),
550864,俺しか使えない『アイテムボックス』がバグってる (1),
166711,パパのいうことを聞きなさい!美羽様のいう通り! (1),听爸爸的话! 按美羽大人说的做!
184053,枢やな画集 黒執事 (2),枢梁画集 黑执事 2
517082,ダンジョン娘とハーレムしたい! ~レベル1冒険者ゼロの英雄譚~ (1),
519870,恋人がウブすぎて困る (2),
524151,小説 もめんたりー・リリィ (1) ~Precious Interludes~,
15357,Superman/Batman (27),
323278,あわドルぐらし (1),
489250,พันธะลิขิต (1),Destiny Amour (1)
655817,ヤマナミ (1),
656116,異世界で猫に転生したおれ、最凶傭兵団に拾われる (1),
658163,ホストが異世界の聖王子に転生したら、意外と適性があった件 ~現代知識とチート級神聖術でNo.1を目指します~ (1),
362929,VitaminZ アンソロジー (2),
368937,剣の修羅 (1) 異端陰陽師の剣撃譚,
369365,本気! 番外編 (3) SOS,
371884,魔法科高校の劣等生 石田可奈画集 (2) kaleidoscope,
378841,こちらCLAMP学園怪奇現象研究会 (1),
553768,ほぼニートな俺が司書の先生に恋をしました (1),
563925,水野忍の理想の恋愛 (2) ～お付き合い篇～,
134493,あっちこっち アンソロジーコミック (1),
198044,花園とエゴイスト (1),
200199,うらら迷路帖アンソロジーコミック (1),
206762,何してんの神様 (02),
254991,オッサン (36) がアイドルになる話,
582827,ぼっちの冒険者は、パーティが組みたい。 (1),
584090,魍魎戦記　MADARA (3),
86594,"La dolce vita―Home,sweet home (4)",
276117,ハジメくんとふたりのえっちな先輩(2),一學弟和兩位色色學長♥２ＥＮＤ
444343,三上と里はまだやましくない (2),
629758,零落銃士の無限再起 (1),
634367,온더힐(1),
634744,今さら覚醒したおっさん(38)、ハーレム騎士団の剣術師範として無双する  成長した元教え子のせいで、なぜか俺が伝説になっているんだが,
639480,いたりあ食堂ピコピコ ~レトロゲーに転移した俺は、平和に料理を作りたい~ (1),
639968,魔女と魔性と魔宝の楽園 ~追放された転生貴族の自由気ままな【蒐集家】生活。ハズレ前世に目覚めた少年は、異世界で聖剣もモフモフも自分の城も手に入れる~ (1),
641897,ようこそ最前線の地獄(職場)へ 軍師リナ、8歳です (1),
642604,ヤンデレ皇王のつがい様 ~妹の身代わりで嫁いだはずがとろ甘に溺愛されました~ (1),
642895,クラスメイトをプロデュースして、世界一かわいい人気VTuberに育て上げるまで (1),
388102,銀河英雄伝説 Die Neue These 公式設定資料集 Complete Edition (2),
391258,おそ松さん 公式アンソロジーコミック こぼれ話集 (2),
602144,銀河女子中学生ダイアリー(1) お姫様ひろいました。,
616938,とんでもスキルで異世界放浪メシ a la carte (1),
618599,傾国の悪女になんかなりません! ~蛮族令嬢クリスティナは予言された破滅フラグを【カンスト】パワーでへし折ります~ (1),
619696,38歳社畜おっさんの巻き込まれ異世界生活 (1) ~【異世界農業】なる神スキルを授かったので田舎でスローライフを送ります~,
620577,悪役魔法使いの改心 (1),
302225,地縛少年 花子くん (0),地缚少年花子君（0）
302634,パーム (37) TASK (II),
308797,ワーウルフになった俺は意思疎通ができないと思われている (1),没人想过变成狼人的我通晓人话
544388,『駄犬』と呼ばれパーティも職場も追放されたオッサン、『金狼』となって勇者一族に牙を剥く! (1),
544748,病弱少女、転生して健康な肉体(最強)を手に入れる (1) ~友達が欲しくて魔境から旅立ったのですが、どうやら私の魔法は少しおかしいようです!?~,
171273,女子高生チヨ (64),
173561,ＮＯ ＬＯＮＧＥＲ ＣＨＩＬＤＲＥＮ 子供失格(1),儿童失格
189656,亞由多 (1),
525600,シスター・プリンセス ～お兄ちゃん大好き～ (5) 雛子,妹妹公主 小说（5）雏子
235732,赤い靴 (1),赤い靴
238457,宿恋 ～銀の森の鬼～(1),宿恋 ~银色森林之鬼~
480601,麗しの皇帝陛下の運命の花嫁に選ばれてしまったのですが、まだ仕事がしたいので秘密です! (1),
655016,キラキラネームの『破滅の闇聖女』にはなりません! (1),
52078,公式ガイドブック ツバサ CARACTere GuiDE(2),
554786,異世界複利! ~日利1%で始める追放生活~ (1),
563953,死印 (2),
154579,天国の仕立て屋 (1),
157782,男の船出—青柳裕介作品集 (1),
471129,不動産業者に負けない24の神知識 (2) -『正直不動産』公式副読本-,
201536,カテメン (1),家庭指导
206766,いっぽん!! ~しあわせの日本酒~ (03),
206944,男塾外伝 赤石剛次 (01),
247865,電影少女 愛藏版(01),電影少女 愛藏版(01)
418491,冒険！ヴィクトリア号！！ (1),
273222,魔法主婦マジカルミュー (1),
287270,ガチイキ挑発ナイト (2),
439707,ガニメデ~殺戮の島~ (1),
632018,転生付与術師オーレリアの難儀な婚約 (1),
632052,最強スライムはぺットであって従魔ではない。ご主人様に仇なす奴は万死に値する。 (1),
636405,和食で騎士団を虜にした令嬢は、婚約破棄から人生やり直し中です ~小料理屋から始まる、美味しい第二の人生~ (1),
638892,蘭華宮の調香妃 ~後宮一番の悪女に転生しましたが、開き直って楽しみます~ (1),
641373,昭和元禄落語心中 新装版(2),昭和元禄落语心中 新装版(2)
645596,ヤンデレご主人様の甘い支配に今宵も私は抗えない。コミックアンソロジー (1),
647711,一畳間まんきつ暮らし! アンソロジーコミック (1),
26785,えろ・しょた(23) スク水×ブルマ×オトコのコ,
28688,A君(17)の戦争,
604616,無自覚最強ソロキャンパージロー (1) ~のんびりダンジョンキャンプ配信がしたいだけなのに世界がそれを許してくれない~,
619957,ラスボスキャラに転生したので原作以上に覇道を進むことにした (1),
620578,悪役転生 努力に疲れた僕はサボるぜ! ~平和ボケのサボり魔は破滅を回避する!~ (1),
622225,綺麗にしてもらえますか。 ~ふたりぐらし~ (12),
623689,パン★テラ (2),
623690,パン★テラ (3),
624572,元最強冒険者の路地裏カフェのんびり開業録 (1) マスター、こんなんじゃお店つぶれちゃいますよ~!,
292156,糸永くんの恋の糸 (2),糸永同学的恋爱红线 (2)
302769,やがて君になる 公式コミックアンソロジー (2),终将成为你 官方漫画合集 (2)
312796,パーム (30) 蜘蛛の紋様 (1),
543666,小悪魔だけど恋愛音痴なセンパイが今日も可愛い (1),
544090,残念令嬢パトリシアの逆襲 (1) ~メタボ令嬢がガチ筋トレに励んだら、過去に婚約を断って来た殿方たちが、なぜかやたらと絡んできます~,
164619,TOKYO WAR (2) 灰色の幽霊 THE NEXT GENERATION パトレイバー,东京战记(2) 灰色的幽灵
346461,君がブルーバード (2),
513555,ゆうきまさみ初期作品集 early days (1),
326628,オメガはベッドで嘘をつく (1),
335121,さよなら私のクラマー (0),再见了，我的克拉默 第0卷
499450,妖怪ハンター 稗田の生徒たち (1) 夢見村にて,
651906,ポケットモンスターSPECIAL サン・ムーン (2),
653126,影山くんの暗躍×青春ディレクション (1),
655015,友だち以上恋人未満の魔法使いたち ~竜王陛下もカースト上位女子も私の人生の邪魔はしないでください!~ (1),
661252,はい、こちらダンジョン捜索隊! ~相棒のタヌキがうっかり記録用録画を配信したら、全世界でバズってしまいました~ (1),
63931,DEATH NOTE (13) 真相 HOW TO READ,
554783,元勇者はのんびり過ごしたい ~地球の路地裏で魔王拾った~ (1),
567577,約束は聖剣と魔術に乗せて (1) ~規格外の魔力を持つ次期魔王候補の少年、落ちこぼれ剣士となって勇者を目指す~,
155639,ディエンビエンフー (0),
201812,彼担! (1),彼担!
205038,大正 乙女カルテ (2),
206902,白丸くん、誰推し? (01),
210961,人間でした 2ndシーズン (1),
248810,徳永健吾(31)のカラダは私だけのものではない,
254990,オッサン(36)がアイドルになる話,大叔(36岁)变成偶像的事
265541,新宿ラッキーホール(2),
421409,異世界で『賢者……の石』と呼ばれています (1),
597261,竜斬りの蜥蜴人 (1),
85319,SWORD GALE (1),
441418,アソコのきゅんきゅんが止まらないのぉ…！」バレたらアウト!?　男装巨乳♀と痴漢満員電車(1),
627706,マッチ箱のようなお城 (1),
629756,悪逆のアガペイア (1) ~恋愛RPG最強の寝取りチャラ男に転生したけど、俺は絶対に寝取ったりしない!~,
643859,追放された魔術師団長クローディアの愛され無双 (1),
644319,모 이야기 (2),宾士猫的夏日大冒险
644612,妹が“義妹”ってことを俺だけが知らない ~双子の美人姉妹は何も知らない兄を堕としたい~ (1),
45807,期間限定いもうと。 (1),
399685,中谷友紀子 東映アニメーションプリキュアワークス (2),
619953,ただの平民の使用人、実は最強の魔法士 (1) ~真の実力がバレた結果、姫様たちが離してくれない~,
302633,パーム (38) TASK (III),
536337,黒エルフに飼われた俺のダンジョン生活 ~三食風呂と地獄つき~ (1),
542408,社畜おっさん(35)だけど、『魔眼』が覚醒してしまった件 ~俺だけにしか視えないダンジョンで魔物を倒しまくってレベルUPし放題! 気づけば現実でも異世界でも最強になってました~,
544102,モブ推しJK悪役令嬢異世界転生 ～悲惨～ (2),
177923,築地魚河岸三代目(19) 明太子(メンタイコ)-驚きの珍味 (マイファーストB),
515247,ハーレムアパートへようこそ (1),欢迎来到后宫公寓 (1)
526533,BanG Dream! ガルパ☆ピコ コミックアンソロジー (2),
13527,新約 炎の言霊―島本和彦名言集〈2〉 (島本和彦名言集 (2)),
15924,カードキャプターさくらイラスト集 (2),
485861,異世界でちょっとアレな宿屋の経営をはじめたのですが店員さんに好かれすぎちゃって……あの、今は営業中ですから (1),
