id,name,name_cn
28688,A君(17)の戦争,
54125,"A君(17)の戦争 I, THE TYCOON？",A君的战争
227736,花部長(52)と心乃ちゃん(17),花部长(52)和心乃同学(17)
254990,オッサン(36)がアイドルになる話,大叔(36岁)变成偶像的事
254991,オッサン (36) がアイドルになる話,
260694,公爵令嬢は騎士団長(62)の幼妻,公爵千金是62岁骑士团长的嫩妻
284329,漫画家アシスタント三郷さん(29)は婚活中,
323662,(21)‐のじゃロリ&ロリババァ‐,萝莉的♂→♀秘密
354677,"""沙盒"" (3)",沙盒
386044,転生したらスライムだった件 (4) 異世界から来た者たち,
386058,転生したらスライムだった件 (3) 桜金色の魔王現る,
386067,転生したらスライムだった件 (1) 最強のスライム誕生⁉,
386071,転生したらスライムだった件 (2) ジュラの森の大異変,
386075,転生したらスライムだった件 (5) スライムの魔王誕生,
391821,転生したらスライムだった件 (6) 真なる魔王たちのうたげ,
408631,転生したらスライムだった件 (7) 教会からの使者,
420038,転生したらスライムだった件 (8) 祝祭への道のり,
431288,転生したらスライムだった件 (9) 魔国連邦の幕開け,
451171,限界独身女子(26)ごはん,极限单身女子觅食中
452987,転生したらスライムだった件 (10) もう一人の転生者,
481647,転生したらスライムだった件 (11) 時空の少女,
494877,追放おっさん冒険者(37)…実はパーティメンバーにヤバいほど慕われていた,
512683,転生したらスライムだった件 (12) 帝国の脅威,
538278,転生したらスライムだった件 (13) 帝国からの侵略者,
578126,魔法少女ホロウィッチ! (1),
586712,転生したらスライムだった件 (14) 落日の帝国,
608779,월요일의 구원자 (1),
620077,ギャルとダンジョンと周回遅れの探索英雄譚 (1) ~元レジェンド・今は訳あり低ランク探索者な俺が、S級ギャルに懐かれまくって育成お任せされた~,
624723,佐藤英子(32)はヒーローになれたのか,
628138,転生したらスライムだった件 (15) 囚われの暴風竜,
634653,"""沙盒"" (1)","""测试"""
634744,今さら覚醒したおっさん(38)、ハーレム騎士団の剣術師範として無双する  成長した元教え子のせいで、なぜか俺が伝説になっているんだが,
636441,도굴왕 (17),
641493,"""沙盒"" (2)",
642637,転生したらスライムだった件 (16) 戦いの終わりと始まり,
