id,name,name_cn
46781,水中騎士,水中骑士
46785,紅嵐,红唇杀机
46993,ディス魔トピア,魔黑理想乡
47038,メーカー非公式 初音みっくす,非公式 初音MIX
47272,GOSICK,
47342,堕天使の柩,堕天使之柩
48018,ベルサイユのばら,凡尔赛玫瑰
48297,A GIRLS,A GIRLS 似曾相识
48630,MÄR,MÄR 魔兵传奇
48680,八潮と三雲,八潮与三云
48906,ソウルイーターノット!,噬魂师NOT！
49186,ドリフターズ,漂流武士
49563,るくるく,恶魔管家
50133,D.C. 〜ダ・カーポ〜,初音岛
50147,T・Pぼん,时光巡逻队
50208,英雄伝説 零の軌跡,英雄传说 零之轨迹 漫画版
50631,魔王 業火の決意―JUVENILE REMIX,
50901,出ましたっ! パワパフガールズZ,飞天小女警Z
51045,夢みる太陽,梦中的太阳
51607,アクエリアンエイジ 始まりの地球,
52989,最後の性本能と水爆戦,
53109,ドールズ フォークロア,退魔使者
53228,FORTUNE ARTERIAL Character’s Prelude (1),
53543,KAMUI,卡姆依
53777,あい・らぶ・ねぇ,
53781,ちぐはぐプラネット,不和谐行星
53817,荒野に獣 慟哭す,荒野之兽的恸哭
54001,リコとハルと温泉とイルカ,理香和春和温泉和海豚
54268,ORderMeiDO オーダーメイド,
54278,ラッキー・ブレイク,幸运不幸运!?
54340,オトノハコ,青涩的音符
54421,Garden,
54425,πスペシャル πかもしれない編,
54532,ロナルドの野望,我的超S上司
54564,PaPa パパ,狼的午后
54718,若旦那にご用心,怕寂寞的恋情
54797,こどものじかん,萝莉的时间
55087,キューティリップス,紅唇俏妹
55171,玲瓏館健在なりや,玲珑馆营业中
55650,黒鷺死体宅配便,黑鹭尸体宅配便
55765,八犬伝-東方八犬異聞-,八犬传-东方八犬异闻-
55769,傷ーKIZ／KIDSー,伤
55979,凍土の旅人,冻土的旅人
56080,Doctor K,新无敌怪医K
56433,B×P Anx (1),
56487,LSD,
56728,キューティーハニー,甜心战士
56879,くるりさんとヒラリさん 2,
56886,ハナさんの休日2nd season,
57139,バーサスアース,地球末日
57163,流れ星レンズ,流星★LENS
57579,ゴールデンタイム,青春纪行
57678,ザ・ワールド・イズ・マイン,
57975,ローゼンメイデン dolls talk,蔷薇少女 dolls talk
58097,聖闘士星矢 文庫版,圣斗士星矢 文库版
58194,LOVE YOU ONLY,戀愛預感心貼心
59001,ちびさんデイト,小不点日记
59188,ふぇちっくす!,
59601,まじもじるるも,修业魔女璐璐萌
59681,死太郎くん 2,千之恐怖馆-人皮傀儡
59701,エスケープ,
60999,ごくせん,极道鲜师
61211,恋するメイド少年 2,恋爱女仆少年2
61271,瞳は海の色,眼睛是海的颜色
61304,もっかいしよ?,再来一次好吗？
61386,足洗邸の住人たち。,妖魔同邻足洗邸
62564,夜明け前より瑠璃色な -Moonlight Cradle-,夜明前的琉璃色-Moonlight Cradle-
62565,調律葬交Zyklus;CODE,调律葬交Zyklus;CODE
62714,今日からヒットマン,上班族杀手
63842,井の頭ガーゴイル,井之头的石像鬼
63915,舞FAVORITE,
64192,青空ふろっぴぃ,
64656,ライアテア,
64693,少年よ大志を抱け!,少年啊!胸怀大志!
64789,抱いてみやがれ！,放胆抱紧我
64966,T.P.さくら,T.P.樱
65001,NUMBER10,
65027,ラブプラス Rinko Days,爱相随 Rinko Days
65116,清村くんと杉小路くんよ,
65182,縄がなくてもだいじょうぶ,没有绳子也没有关系
65332,デビルマン黙示録strange days,
65375,殺人大百科,X人大百科
65394,乙女ケーキ,少女的蛋糕
65657,幻蔵人形鬼話,幻藏人形鬼话
66120,魔法少女 鬼塚さくら,魔法少女鬼塚樱
66135,ばくおん!!,爆音少女!!
66300,ひみつの階段,秘密的楼梯
66334,はんまめいど!,重量级女仆
66422,京騒戯画,
66551,新宝島（手塚治虫漫画全集）,新宝岛
66820,抱きしめても怒りませんか？,甜蜜的真情拥抱
66901,Wāqwāq ワークワーク,火热防人
67073,のうりん,农林
67600,湘南爆走族,湘南爆走族
67812,奴隷区 僕と23人の奴隷,奴隶区 我与23人的奴隶
68361,おねーさんひとりじめ,
68387,LOVE的,
68423,つつんでひらいて,
68546,誰かを好きな人,
68561,パンチドランカー,拳力全开
