id,name,name_cn,连载结束
1033,機動戦士ガンダム C.D.A. 若き彗星の肖像,机动战士GUNDAM C.D.A. 年轻彗星的肖像,"2009年10月号"
1322,いおの様ファナティクス,伊王野女王的爱情,"2006-11-26 (VOLUME11)"
2122,わたしのすきなひと,少女情怀总是诗,"1995年6月号"
3396,魔法遣いに大切なこと 太陽と風の坂道,魔法使的条件 太阳与风的坡道,"2006年3月号"
3882,BLOOD ALONE,,2014-01-28(2014年4号/イブニング)
4018,アキハバラ@DEEP,秋叶原@DEEP,"2004年7月号"
4333,さいたまチェーンソー少女,埼玉链锯少女,"2009年2月号"
6036,ヴァムピール,巡行使者,"2010年4月号"
6050,灼眼のシャナ,灼眼的夏娜,"2011-08-27(2011年10月号)"
6239,憂鬱な朝,忧郁之朝,"2018年9月"
6317,超合金社团,超合金社团,"2013年11月"
6370,わたしたちの田村くん,我们俩的田村同学,"2008-02-27"
6541,Variante,寄生少女,"2006年5月号"
6843,PandoraHearts,潘朵拉之心,"2015-03-18(2015年4月号)"
6846,DARKER THAN BLACK -漆黒の花-,DARKER THAN BLACK -漆黒之花-,"2011年No.3"
8517,会長はメイド様!,会长是女仆大人！,"2013-09-24 (2013年11月号)"
10167,テルマエ・ロマエ,罗马浴场,"2013年4月号"
10946,かみせん。,泉神大人,"2011-09-09 (2011年10月号)"
14675,COPPERS,,"2009年21号"
17161,ゆるめいつ,希望宅邸,"2020-02-27 (2020年3月号)"
17747,辺境警備,边境警备,"1992年5月号"
18094,DOLL MASTER,巧手人型师,"2003年12月号"
18157,多重人格探偵サイコ,多重人格侦探PSYCHO,"2016-02-04(2016年3月号/ヤングエース)"
18873,宮崎駿の雑想ノート,宫崎骏杂想录,"1992年5月"
19527,HELLS ANGELS,地狱天使,"2004-04-19"
20468,ワイルドアームズXF,,"2008-01-26(2008年3月号)"
21539,コープスパーティー；娘,尸体派对；娘,2012-07-27 (2012年9月号)
21960,金色のコルダ,金色琴弦,"2011-03-24 (2011年5月号)"
24314,コンダクター,暗影指挥家,"2011年7月号"
25343,カレン坂高校 可憐放送部,卡莲坂高中可爱广播社,2008
25684,蟲と眼球シリーズ,虫，眼球系列,"2007-05"
26403,好きです鈴木くん!!,铃木同学，我爱你！,"2012年第14号"
26627,ななつさ,七岁差彼女,"2010-11-27 (『電撃マ王』2011年1月号)"
27132,電撃!!イージス5,电击!!神盾5少女,"vol.14（2005年6月）"
27263,スレイヤーズすぺしゃる,秀逗魔导士Special,"2005-01-29(2005年3月号)"
27684,ドラえもん,哆啦A梦,"1996"
28868,生徒会の一存,学生会的一己之见,"2012-12-09(2013年1月号)"
29511,鉄道むすめ,铁道娘,"2009年4月号"
29532,我が家のお稲荷さま。,我家有个狐仙大人 漫画版,"2013-05-27(2013年7月号/月刊コミック電撃大王)"
30040,はつきあい,初恋,"2010-12-22(2011年1月号)"
30804,神なる姫のイノセンス,神鸣公主的无邪,"2011-11"
30994,新・春香伝,新·春香传,"1994年2月20日号"
31020,不思議の国の美幸ちゃん,美幸梦游仙境,"1995年7月号"
31426,ノラガミ,野良神,"2024-01-06 (2024年2月号)"
31808,大長編ドラえもん,哆啦A梦大长篇,"2004-02-25（「月刊コロコロコミック」2004年3月号）"
31959,犬神,犬神,"2002年10月号"
32338,学園黙示録 HIGHSCHOOL OF THE DEAD,学园默示录,"2013年5月号（絶筆）"
34280,Oz: The Wonderful Wizard of Oz,绿野仙踪:奥兹国的魔法师,"2009-07-12"
35412,ヒナまつり,黑社会的超能力女儿,"2020-07-15(volume76/ハルタ)"
35692,五霊闘士オーキ伝,,1996-10
35782,近キョリ恋愛,近距离恋爱,"2011-05-13(2011年6月号)"
36858,東京ESP,东京ESP,"2016-07-26 (2016年9月号)"
36902,ヴェルバーサーガ,佩尔帕英雄传,"1994年11月号"
37593,処女はお姉さまに恋してる 2人のエルダー,少女爱上姐姐2,"2012年2月号"
37659,俺の後輩がこんなに可愛いわけがない,我的后辈哪有这么可爱,"2015年7月号"
37823,EREMENTAR GERAD,武器种族传说,"2009-12-28 (2010年2月号)"
37940,D.C.II Imaginary Future ～ダ・カーポII イマジナリーフューチャー～,初音岛2 IF,"2009-03-30(2009年5月号)"
38018,アノレクシア 〜しかばね華子は拒食症〜,Anorexia 〜志果羽华子得了厌食症〜,"2013-01-25"
38379,狼と香辛料,狼与香辛料,"2017-12-27 (2018年2月号)"
38621,マクロス7 トラッシュ,超时空要塞7 TRASH,2001年2月号
39416,アドルフに告ぐ,三个阿道夫,"1985年5月30日号"
39630,恋愛中毒的仙術師,恋爱中毒的仙术师,"2005年10月号"
40444,青の微熱,青之微热,2012年8月号
40555,SKET DANCE,学园救援团,"2013-07-08 (2013年32号)"
40827,シャングリ・ラ,香格里拉,"2009-12-26"
41654,X-Men Fairy Tales,X战警童话,"2006-08-30"
42317,ブッダ,佛陀,"1978年07月号"
43374,新ロードス島戦記,新罗德斯岛战记,"2006年8月号"
44708,トムソーヤ,最后的夏,"2006-06-??"
45334,俺の妹がこんなに可愛いわけがない,我的妹妹哪有這麼可愛！,"2011年5月号"
48300,Missing 神隠しの物語,,"2005-08-24 (Volume.37)"
48905,魔王さまのペロペロ計画,魔王大人的呸喽呸喽计划,"2012-12-04(2013年1月号)"
49073,ブレンパワード,灵魂力量,"2001年2月"
49402,BRAVE10 S,BRAVE10〜真田十勇士〜 第二部,"2016年4月号"
49662,怨み屋本舗 巣来間風介,,"2009年3月19日発売号"
49940,オレとあたしの彼氏サマ,他和她的男友殿下,"2012-11-24 (2013年1月号)"
49971,ビー・バップ・ハイスクール,高校生极乐传说,"2003年35号"
50168,エリア88,基地88,"1986年"
50179,部室のドワーフちゃん,角扮社的豆丁妹,"2011-10-03（コミックラッシュ网络版）"
50572,ふたりの恋愛書架,两人的恋爱书架,"2013-07-24(2013年9月号)"
51207,怨み屋本舗 REBOOT,怨屋本铺 REBOOT,"2011年10月5日発売号"
51261,まおゆう魔王勇者,魔王勇者,"2016-11-11"
51389,Rewrite: SIDE-B,,"2015-05-30(2015年7月号/G'sコミック)"
51390,Rewrite: SIDE-R,,"2013-07-27"
52810,ジゼル・アラン,大小姐今日开业,"2014-08-11 (ハルタ volume17)"
53096,マジナ!,占术屋,"2010-09-22(2010年11月号/シルフ)"
53102,あさっての方向。,后天的方向,2007-06-15(2007年初夏号)
53455,ジーザス,JESUS,"1995年20号"
53456,JESUS 砂塵航路,沙尘航路JESUS,"2012"
53508,闇のイージス AEGIS IN THE DARK,闇之盾 AEGIS IN THE DARK,"2006年34号"
53509,暁のイージス AEGIS IN THE DAWN,晓之盾 AEGIS IN THE DAWN,"2008年35号"
55380,東京レイヴンズ RED AND WHITE,东京暗鸦 RED AND WHITE,"2013-10-09(2013年11月号)"
55798,電波女と青春男,电波女与青春男,"2013年9月号"
55973,神々の山嶺,神之山岭,"2003年7号"
56080,Doctor K,新无敌怪医K,"1998年45号"
56209,フダンシフル!,腐男子主义 高校篇,"2011-12-02 (2011年24号)"
56397,ちちんぷいッ!,灵异辣妹,"2003年5月号"
56646,The Umbrella Academy: Apocalypse Suite,,"2008-02-20"
57033,新 Petshop of Horrors,新 恐怖宠物店,2012-11-15
57312,有線少女 ~plug-in girl~,有线少女 ~plug-in girl~,"2014年3月号"
57579,ゴールデンタイム,青春纪行,"2016年7月号"
57703,キーチVS,辉一VS,2013年15号
57837,コイネコ,恋猫,2013年01月号
60006,ストロベリー・パニック!,草莓狂热,"2007年4月号"
60251,嘘つきみーくんと壊れたまーちゃん とっておきの嘘,说谎的男孩与坏掉的女孩 深藏的谎言,"2010-12-29（2011年2月号）"
60281,魔法遣いに大切なこと 〜夏のソラ〜,魔法使的条件 夏日天空,"2009年1月号"
60488,イタズラなKiss,淘气小亲亲,"1999年3月号"
60892,ベン・トー zero Road to witch,便‧当 zero Road to witch,"2011-09-03 (2011年10月号)"
61178,NOT LIVES-ノットライヴス-,NOT LIVES,"2016年12月号"
61513,月の珊瑚,月之珊瑚,"2019-01-22"
61963,海虎,海虎,"1995-09-08"
61964,海虎II,海虎II,"1996-08-16"
61965,海虎III,,"1997-07-25"
62121,新クロサギ,新诈欺猎人,"2012-08-06 <ビッグコミックスピリッツ 2012年36・37合併号>"
62433,隣のあたし,隔壁的我,"2012-02-13(2012年3月号)"
62613,図書館戦争 SPITFIRE！,图书馆战争SPITFIRE!,"2008-04-21(2008年6月号)"
62634,幻獣の星座,幻兽星座,2007-08-28
65455,冷たい校舎の時は止まる,时间停止的校舍,"2009-04-06(2009年5月号)"
65736,ナナヲチートイツ,七绪的七对子,"2013年4月号"
68096,こたつやみかん,,2014-04-25(2014年6月号)
68207,菩提樹寮のアリア〜金色のコルダシリーズ〜,菩提树寮的抒情调～金色琴弦系列～,"2013-08-24 (2013年10月号)"
68420,お姉ちゃんが来た,姐姐来了,2020-06-27(2020年8月号)
68690,スティーブ・ジョブズ,乔布斯传,"2014-06-13 (ハツキス 2014年7月号)"
69292,HUNGRY JOKER,饥饿小丑,"2013-05-13 (2013年24号)"
69325,部長に威厳はありません,部长她没有威严,"2014-05-28"
69409,ホテル・ラヴィアンローズ,玫瑰人生HOTEL,"2013年2月号"
69649,文豪ストレイドッグス,文豪野犬,"2026-03-04(2026年4月号)"
70168,ラブロマ,来恋爱吧,"2005年12月号"
70238,キラキラ!,恋爱高中生,"1990年25号"
70461,風光る,光之风,"2020-05-28(2020年7月号)"
70833,ワイルドマウンテン,,2010年2月号
70911,怪盗ジョーカー,怪盗Joker,"2017年8月号(月刊コロコロコミック)"
70929,ぎんぎつね,银狐,"2022-10-19(2022年11月号)"
71331,バトルクラブ,斗阵俱乐部,"2006年19号"
71332,バトルクラブ2nd stage,斗阵俱乐部 2nd stage,"2009年11月号"
71665,HEAT -灼熱-,HEAT -灼热-,2004年5月14日号
71740,かみさまドロップ,神落,"2016-07-06(2016年8月号)"
71893,クラヴィコード,翼琴之歌,"2013-01-28(No.16)"
72003,モンキーターン,驰风！竞艇王,"2005年3号"
72133,ハル姉が僕に××する理由,春姐为我做××的理由,"2015-01-09(2014年2月号)"
72148,Injustice:Gods Among Us,不义联盟：人间之神,2016年9月
72325,朝霧の巫女,朝雾的巫女,"2007年8月号"
72384,いますぐお兄ちゃんに妹だっていいたい!,现在就想告诉哥哥，我是妹妹!,"2014年4月号"
72587,クロス・マネジ,兜网球经理,"2013-07-22 (2013年34号)"
72622,夏色キセキ,夏色奇迹,"2013年4号"
72890,遊撃宇宙戦艦ナデシコ,游击宇宙战舰,"1999年2月号"
72948,アルカナ・ファミリア -Amore Mangiare Cantare!-,魔力家族 Amore Mangiare Cantare!,"2014-04-22(2014年6月号)"
73367,劇場版 STEINS;GATE 負荷領域のデジャヴ,剧场版 命运石之门 负荷领域的既视感,"2013-10-26(2013年12月号)"
73639,白雪姫と7人の囚人,白雪公主与7个囚犯,"2013-12-12 (2013年52号)"
73850,すとれんじマンション,怪人公寓,"2006-06-28(2006年8月号)"
73949,マギ シンドバッドの冒険,天方魔谭MAGI 辛巴达的冒险,"2018-05-02"
74195,ねこだらけ,全是猫,2013-05-16(2013 No.24)
74894,マグダラで眠れ,梦沉抹大拉,"2015-04-04(2015年5月号)"
75138,戦場アニメーション,战场Animation,2013-12-04(2014年1月号)
75336,ビブリア古書堂の事件手帖,古书堂事件手帖 （交田稜作画）,"2013-09-06(2013年35号)"
75444,機動戦士ガンダム00F,机动战士高达00F,2009年7月号
75618,剣神の継承者,剑神之继承者,"2014年7月号"
75832,革命機ヴァルヴレイヴ 流星の乙女,革命机VALVRAVE 流星的少女,"2014-03-26(2014年5月号)"
76171,ぼくのとなりに暗黒破壊神がいます。,暗黑破坏神在身边,"2020-04-15 (2020年5月号)"
76549,ハツカレ,我的初恋男友,"2006年20号"
76578,GET LOVE!!,恋爱得分,"2004年第23号"
76850,花の騎士,花之骑士,"2011-07-20 (2011年16号)"
76887,詭弁学派、四ッ谷先輩の怪談。,诡辩学派 四谷学长的怪谈,"2010-07-05 (2010年31号)"
76889,タカマガハラ,高天原,"2012年49号"
77466,SILENT KNIGHT翔,静斗士翔,"1992年第48号"
77763,ファイナルファンタジー零式外伝 氷剣の死神,最终幻想 零式外传 冰剑的死神,"2014-01-11(2014年2月号)"
78018,靴ずれ戦線 -魔女ワーシェンカの戦争-,呆萌蠢战线 魔女瓦西卡的战争,"2012-12-19(2013年2月号)"
78501,あまりまわり,亚麻理的日常,"2016-01-27(2016年3月号)"
78548,夢幻外伝,梦幻外传,"1996-04-13(Vol.31/眠れぬ夜の奇妙な話/ネムキ1996年5月号)"
79818,凪のあすから,来自凪之明日,"2016年5月号"
80746,私がモテてどうすんだ,我太受欢迎了该怎么办,"2018-02-13 (2018年3月号)"
80963,キミと楽園ROOM,你与乐园之屋,"2013-07-19(2013年9月号)"
80979,聲の形,声之形,"2014-11-19 (2014年51号)"
81131,Fate/Prototype 蒼銀のフラグメンツ,Fate/Prototype 苍银的碎片,"2016年10月号"
81426,トライAンジェル,试爱Angel,"2013-06-27(2013年30号)"
83096,寄生彼女サナ 〜Parasistence SANA〜,寄生女友莎娜,"2014年1月号"
83147,当世幻想博物誌,当世幻想博物志,"2011-09-28 (2011年11月号)"
84148,STEINS;GATE,命运石之门,"2013-07-27(2013年9月号)"
84721,ib -インスタントバレット-,ib -丢弃的子弹-,"2015-08-27(2015年10月号)"
84886,魔法科高校の優等生,魔法科高校的优等生,"2020-06-27 (2020年8月号)"
85009,RACK —13係の残酷器械—,RACK 13科的残酷器械,"2019-06-14(2019年7月号)"
85183,デート・ア・ライブ (1),约会大作战,"2013年2月号"
85197,青春乙女番長!,青春少女魔头,"2014-01-11(2014年2月号 )"
85254,青春×機関銃,青春×机关枪,"2019-08-17(2019年9月号)"
85856,東京喰種トーキョーグール［JACK］,东京喰种JACK,"2013-09-12"
85958,キングダム ハーツ チェイン オブ メモリーズ,王国之心-记忆之链,"2006-03-11(2006年4月号)"
85999,キングダム ハーツ 358/2 Days,王国之心 358/2天,"2012-09-12(2012年10月号)"
87037,よろず占い処 陰陽屋へようこそ,欢迎来到阴阳屋,"2015-09-01 (Vol.32)"
87590,ねらいうち!,被瞄准的恋爱,2014-02-20(2014年No.3)
87719,ペコロス,小玉葱,2013-07-25(2013年Vol.08/月刊ビッグガンガン)
88271,王子達は依存する,王子恋爱依存症,"2009年1月号"
88674,妄想稼業の道長さん,妄想持家的道长同学,"2014-04-05(2014年5月号)"
89457,ヨルカフェ。,夜色咖啡馆,"2008-11-08(2008年11月号)"
89821,進撃の巨人 Before the fall,进击的巨人外传 Before the fall 漫画版,"2019-03-26 (2019年5月号)"
90144,DOG DAYS,,"2011-09-26 (月刊コンプエース2011年11月号)"
90755,エスカ&ロジーのアトリエ 〜黄昏の空の錬金術士〜,艾斯卡&洛吉的工房 ~黄昏天空的炼金术师~,"2014-11-27(2015年1月号)"
91567,zen zen (01),zen zen 古濑学习塾,"2011年4月号"
91819,もうすぐ死ぬひと,将死之人,"2015-05-13"
91992,Stand Up!,,"2018-04-24(2018年6月号)"
92166,不能犯,不能犯,"2020-11-04 (2020年23号)"
92605,僕に恋するメカニカル,和我谈恋爱的机器妹子,"2014-06-04（2014年7月号）"
92869,クロクロク,妖界治安官,"2013-11-25 (2013年52号)"
93191,機動戦士ガンダムSEED ASTRAY,机动战士高达SEED ASTRAY,No.016
93295,デート・ア・ライブ 十香デッドエンド,约会大作战 十香篇,"2014-10-25(2014年12月号)"
93353,かりん,增血鬼果林,"2008年3月号"
